"lot_name","customer","lot_description","quantity","price","procurement_method","status","url_to_details","lot_number","start_date","end_date","customer_bin","customer_name","ktru_code","ktru_name","brief_characteristics","additional_characteristics","funding_source","unit_price","unit_measurement","year1_amount","year2_amount","year3_amount","planned_amount","advance_payment_percentage","delivery_location_kato","kato","tru_delivery_period","incoterms","lot_url","sended_to"
"10401508-1 приобретение концелярских товаров","КГКП «Ясли-сад «Қарлығаш» отдела образования Махамбетского района Управления образования Атырауской области»","Картридж","3","18000.00","Запрос ценовых предложений","Опубликован","https://goszakup.gov.kz/ru/announce/index/10401508?tab=lots#","61689718-ЗЦП1","2023-07-24 08:00:00","2023-07-31 08:00:00","990740001265","Коммунальное государственное казенное предприятие «Ясли-сад «Қарлығаш» отдела образования Махамбетского района Управления образования Атырауской области»","329959.900.000081","Скотч","полиэтиленовый","Скотч прозрачный канцелярский 40 мм х 100 м","","500","Штука","5 000.00","","","5000","0","235635100, Атырауская область, Махамбетский район, с.Алга село Алга, ул.Тегисшил 7Количество, объем: 10","235635100","августа","DDP, термин употребляется с указанием места прибытия. Он означает, что ответственность продавца заканчивается после того, как товар доставлен в указанное место в стране покупателя. Все риски, все расходы по доставке груза (налоги, пошлины","https://goszakup.gov.kz/ru/announce/index/10401508?tab=lots#",",-848590287"
"10406113-1 Приобретение бензина и диз топлива","Республиканское государственное учреждение ""Республиканская специализированная школа-интернат-колледж олимпийского резерва имени Хаджимукана Мунайтпасова"" Комитета по делам спорта и физической культуры Министерства культуры и спорта Республики Казахстан","Бензин для двигателей с искровым зажиганием","3000","549000.00","Второй этап конкурса с использованием рамочного соглашения","Опубликован","https://goszakup.gov.kz/ru/announce/index/10406113?tab=lots#","62343942-КиРС1","2023-07-24 15:27:53","2023-07-26 15:27:53","920840000288","Республиканское государственное учреждение ""Республиканская специализированная школа-интернат-колледж олимпийского резерва имени Хаджимукана Мунайтпасова"" Комитета по делам спорта и физической культуры Министерства культуры и спорта Республики Казахстан","192026.510.000000","Топливо дизельное","летнее","Дизельное летнее. Поставляется в талонах по 10 литров и 20 литров. Наличие заправочных станции в г. Астана, г. Акколь, г. Щучинск, г. Кокшетау, г. Петропавловск. Срок действия талона до 30 сентября 2023 года с возможностью продления. Выдача ГСМ осуществляется по талонам АЗС поставщика. Цена за ГСМ должна быть фиксированной на весь объём до полного исполнения обязательств по договору.","За счет бюджетных средств, за исключением средств софинансирования по правительственным внешним займам или связанным грантам","263.4","Литр (куб. дм.)","932 699.40","","","932699.4","0","711310000, г.Астана, район Сарыарка ул. Бейбитшилик, д. 11, оф.Количество, объем: 3541","711310000","с момента вступления договора в силу до 30 сентября 2023 года","DDP, термин употребляется с указанием места прибытия. Он означает, что ответственность продавца заканчивается после того, как товар доставлен в указанное место в стране покупателя. Все риски, все расходы по доставке груза (налоги, пошлины","https://goszakup.gov.kz/ru/announce/index/10406113?tab=lots#",""
"10406086-1 Приобретение художественной литературы","Государственное учреждение ""Отдел образования по Зерендинскому району управления образования Акмолинской области""","Книга","46","151964.68","Запрос ценовых предложений","Опубликован","https://goszakup.gov.kz/ru/announce/index/10406086?tab=lots#","58405609-ЗЦП3","2023-07-24 16:00:00","2023-07-31 16:00:00","060140007596","Государственное учреждение ""Отдел образования по Зерендинскому району управления образования Акмолинской области""","172312.700.000031","Книга","печатная продукция","Cүлікқара	Анна Сьюэлл","За счет бюджетных средств, за исключением средств софинансирования по правительственным внешним займам или связанным грантам","3303.58","Штука","151 964.68","","","151964.68","0","115630100, Акмолинская область, Зерендинский район, с.Зеренда Количество, объем: 46","115630100","в течении 30 календарных дней с момента вступления договора в силу","DDP, термин употребляется с указанием места прибытия. Он означает, что ответственность продавца заканчивается после того, как товар доставлен в указанное место в стране покупателя. Все риски, все расходы по доставке груза (налоги, пошлины","https://goszakup.gov.kz/ru/announce/index/10406086?tab=lots#",""
"10406016-1 Планшет сатып алу","ГУ ""Аппарат акима Чапаевского сельского округа Акжаикского района Западно-Казахстанской области""","Ноутбук","12","3750000.00","Конкурс с предварительным квалификационным отбором","Опубликован (прием заявок)","https://goszakup.gov.kz/ru/announce/index/10406016?tab=lots#","61815076-КПКО2","2023-07-24 15:19:00","2023-07-31 15:21:04","050240005333","Государственное учреждение ""Аппарат акима Чапаевского сельского округа Акжаикского района Западно-Казахстанской области""","262011.100.000004","Ноутбук","планшетный","планшет","За счет бюджетных средств, за исключением средств софинансирования по правительственным внешним займам или связанным грантам","312500","Штука","3 750 000.00","","","3750000","0","273230100, Западно-Казахстанская область, Акжаикский район, с.Чапаев с Чапаево  Акжаикского района ЗКО    Конаев  35      
Количество, объем: 12","273230100","со дня регистрации договора 16 календарных дней","DDP, термин употребляется с указанием места прибытия. Он означает, что ответственность продавца заканчивается после того, как товар доставлен в указанное место в стране покупателя. Все риски, все расходы по доставке груза (налоги, пошлины","https://goszakup.gov.kz/ru/announce/index/10406016?tab=lots#",""
"10406176-1 Саморез (оцинкованный, с потайной головкой)","РГУ ""Западно-Казахстанский межрегиональный департамент геологии Комитета геологии Министерства индустрии и инфраструктурного развития Республики Казахстан ""Запказнедра""","Саморез","3.2","8000.00","Из одного источника по несостоявшимся закупкам","Опубликован (прием заявок)","https://goszakup.gov.kz/ru/announce/index/10406176?tab=lots#","61611241-ОИ2","2023-07-24 15:27:39","2023-07-29 18:00:00","920940000251","Республиканское государственное учреждение ""Западно-Казахстанский межрегиональный департамент геологии Комитета геологии Министерства индустрии и инфраструктурного развития Республики Казахстан ""Запказнедра""","259411.900.000164","Саморез","оцинкованный, с потайной головкой","Шуруп по металлу шестигранной головкой 48*30 мм и  35*25 мм","За счет бюджетных средств, за исключением средств софинансирования по правительственным внешним займам или связанным грантам","2500","Килограмм","8 000.00","","","8000","0","151011100, Актюбинская область, г.Актобе, район Астана улица Ш.Калдаякова, 5БКоличество, объем: 3.2","151011100","в течении 16 календарных дней со дня подписания договора","DDP, термин употребляется с указанием места прибытия. Он означает, что ответственность продавца заканчивается после того, как товар доставлен в указанное место в стране покупателя. Все риски, все расходы по доставке груза (налоги, пошлины","https://goszakup.gov.kz/ru/announce/index/10406176?tab=lots#",""
"10406113-1 Приобретение бензина и диз топлива","Республиканское государственное учреждение ""Республиканская специализированная школа-интернат-колледж олимпийского резерва имени Хаджимукана Мунайтпасова"" Комитета по делам спорта и физической культуры Министерства культуры и спорта Республики Казахстан","Бензин для двигателей с искровым зажиганием","3000","549000.00","Второй этап конкурса с использованием рамочного соглашения","Опубликован","https://goszakup.gov.kz/ru/announce/index/10406113?tab=lots#","62343904-КиРС1","2023-07-24 15:27:53","2023-07-26 15:27:53","920840000288","Республиканское государственное учреждение ""Республиканская специализированная школа-интернат-колледж олимпийского резерва имени Хаджимукана Мунайтпасова"" Комитета по делам спорта и физической культуры Министерства культуры и спорта Республики Казахстан","192021.530.000001","Бензин для двигателей с искровым зажиганием","марка АИ-92","АИ – 92 Поставляется в талонах по 10 литров и 20 литров. Наличие заправочных станции в г. Астана, г. Акколь, г. Щучинск, г. Кокшетау, г. Петропавловск. Срок действия талона до 30 сентября 2023 года с возможностью продления. Выдача ГСМ осуществляется по талонам АЗС поставщика. Цена за ГСМ должна быть фиксированной на весь объём до полного исполнения обязательств по договору","За счет бюджетных средств, за исключением средств софинансирования по правительственным внешним займам или связанным грантам","183","Литр (куб. дм.)","549 000.00","","","549000","0","711310000, г.Астана, район Сарыарка ул. Бейбитшилик, д. 11, оф.Количество, объем: 3000","711310000","с момента вступления договора в силу до 30 сентября 2023 года","DDP, термин употребляется с указанием места прибытия. Он означает, что ответственность продавца заканчивается после того, как товар доставлен в указанное место в стране покупателя. Все риски, все расходы по доставке груза (налоги, пошлины","https://goszakup.gov.kz/ru/announce/index/10406113?tab=lots#",""
"10406092-1 Работы по благоустройству и озеленению населенного пункта краски, известь и хоз товаров для наружных работ по благоустройству территории Капальского сельского округа.(Цвет краски по выбору заказчика)","ГУ ""Аппарат акима Капальского сельского округа"" акимата Аксуского района","Работы по ремонту/благоустройству территории","1","700000.00","Запрос ценовых предложений","Опубликован","https://goszakup.gov.kz/ru/announce/index/10406092?tab=lots#","62307545-ЗЦП1","2023-07-24 15:30:00","2023-07-31 16:00:00","130340022304","Государственное учреждение ""Аппарат акима Капальского сельского округа"" акимата Аксуского района","813010.000.000000","Работы по ремонту/благоустройству территории","Работы по ремонту/благоустройству территории","Работы по благоустройству и озеленению населенного пункта  краски, известь  и хоз товаров для наружных работ по благоустройству территории Капальского сельского округа.(Цвет краски по выбору заказчика)","За счет бюджетных средств, за исключением средств софинансирования по правительственным внешним займам или связанным грантам","700000","Работа","700 000.00","","","700000","0","333249100, область Жетісу, Аксуский район, с.Капал КАЗАХСТАН, область Жетісу, Аксуский район, с.Капал, М.Алыбаев 7Количество, объем: 1","333249100","В течение 15 (пятнадцати) календарных дней со дня заключения договора","","https://goszakup.gov.kz/ru/announce/index/10406092?tab=lots#",""
"10406035-1 Работы по замене видеорегистратора системы видеонаблюдения (согласно технической спецификации)","КГКП «Детская школа искусств горда аксу» отдела образования города аксу, управления образования Павлодарской области","Работы по ремонту/модернизации системы видеонаблюдения и аналогичного оборудования","1","80000.00","Запрос ценовых предложений","Опубликован (прием ценовых предложений)","https://goszakup.gov.kz/ru/announce/index/10406035?tab=lots#","56874924-ЗЦП1","2023-07-24 15:25:26","2023-07-31 15:28:30","990340003960","КГКП «Детская школа искусств горда аксу» отдела образования города аксу, управления образования Павлодарской области","331313.100.000001","Работы по ремонту/модернизации системы видеонаблюдения и аналогичного оборудования","Работы по ремонту/модернизации системы видеонаблюдения и аналогичного оборудования","Работы по замене видеорегистратора системы видеонаблюдения (согласно технической спецификации)","","80000","Работа","80 000.00","","","80000","0","551610000, Павлодарская область, г.Аксу Астана 37Количество, объем: 1","551610000","в течении 35 календарных дней после подписания договора","","https://goszakup.gov.kz/ru/announce/index/10406035?tab=lots#",""
"10406162-1 Приобретение стальной трубы канализационная наружная d-80.","КГУ ""Центр оказания специальных социальных услуг село Купчановка, Буландынский район"" управления координации занятости и социальных программ Акмолинской области","Труба общего назначения","67","770500.00","Запрос ценовых предложений","Опубликован","https://goszakup.gov.kz/ru/announce/index/10406162?tab=lots#","62329900-ЗЦП1","2023-07-24 15:35:00","2023-07-31 15:35:00","630440000014","Коммунальное государственное учреждение ""Центр оказания специальных социальных услуг село Купчановка, Буландынский район"" управления координации занятости и социальных программ Акмолинской области","242013.900.010124","Труба общего назначения","стальная, диаметр 801-850 мм","Труба стальная канализационная наружная d-80, защитная оболочка из полиэтена и с пенополиуретановой изоляции, комплект заделки стыков (КЗС) ППУ, длина 1 штуки-6 метров.","За счет бюджетных средств, за исключением средств софинансирования по правительственным внешним займам или связанным грантам","11500","Штука","770 500.00","","","770500","0","114055600, Акмолинская область, Буландынский район, с.Купчановка Количество, объем: 67","114055600","20 календарных дней с момента заключения договора","DDP, термин употребляется с указанием места прибытия. Он означает, что ответственность продавца заканчивается после того, как товар доставлен в указанное место в стране покупателя. Все риски, все расходы по доставке груза (налоги, пошлины","https://goszakup.gov.kz/ru/announce/index/10406162?tab=lots#",""
"10406107-1 Приобретение посуды (тарелки)","КГКП «Детский сад-ясли №11 «Айгөлек» отдела образования по городу Усть-Каменогорску управления образования Восточно-Казахстанской области","Тарелка","50","32500.00","Запрос ценовых предложений","Опубликован","https://goszakup.gov.kz/ru/announce/index/10406107?tab=lots#","62329190-ЗЦП1","2023-07-25 09:04:08","2023-08-01 09:05:21","140140027825","Коммунальное государственное казенное предприятие «Детский сад-ясли №11 «Айгөлек» отдела образования по городу Усть-Каменогорску управления образования Восточно-Казахстанской области","234112.300.000029","Салатница","из керамики, вместимость более 0,5 л","Тарелка салатница. Диаметр 11 см, глубина 4,5 см","","600","Штука","30 000.00","","","30000","0","631010000, Восточно-Казахстанская область, г.Усть-Каменогорск ул. Протозанова 133Количество, объем: 50","631010000","в течение 15 дней с момента подписания договора","DDP, термин употребляется с указанием места прибытия. Он означает, что ответственность продавца заканчивается после того, как товар доставлен в указанное место в стране покупателя. Все риски, все расходы по доставке груза (налоги, пошлины","https://goszakup.gov.kz/ru/announce/index/10406107?tab=lots#",""
